Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
1984-01-02,4.2E-5,4.2E-5,4.2E-5,4.2E-5
1984-01-09,4.2E-5,4.2E-5,4.2E-5,4.2E-5
1984-01-16,4.2E-5,4.2E-5,4.2E-5,4.2E-5
1984-01-23,4.2E-5,4.2E-5,4.2E-5,4.2E-5
1984-01-30,4.2E-5,4.2E-5,4.2E-5,4.2E-5
1984-02-06,4.2E-5,4.2E-5,4.2E-5,4.2E-5
1984-02-13,4.2E-5,4.2E-5,4.2E-5,4.2E-5
1984-02-20,4.2E-5,4.2E-5,4.2E-5,4.2E-5
1984-03-01,4.7E-5,4.7E-5,4.7E-5,4.7E-5
1984-03-05,4.7E-5,4.7E-5,4.7E-5,4.7E-5
1984-03-12,4.9E-5,4.9E-5,4.9E-5,4.9E-5
1984-03-19,4.8E-5,4.8E-5,4.8E-5,4.8E-5
1984-03-26,4.9E-5,4.9E-5,4.9E-5,4.9E-5
1984-04-02,4.9E-5,4.9E-5,4.9E-5,4.9E-5
1984-04-09,4.9E-5,4.9E-5,4.9E-5,4.9E-5
1984-04-16,4.9E-5,4.9E-5,4.9E-5,4.9E-5
1984-04-24,4.9E-5,4.9E-5,4.9E-5,4.9E-5
1984-05-02,4.9E-5,4.9E-5,4.9E-5,4.9E-5
1984-05-07,4.9E-5,4.9E-5,4.9E-5,4.9E-5
1984-05-14,4.9E-5,4.9E-5,4.9E-5,4.9E-5
1984-05-21,4.8E-5,4.8E-5,4.8E-5,4.8E-5
1984-05-28,4.8E-5,4.8E-5,4.8E-5,4.8E-5
1984-06-04,4.8E-5,4.8E-5,4.8E-5,4.8E-5
1984-06-11,4.8E-5,4.8E-5,4.8E-5,4.8E-5
1984-06-18,4.8E-5,4.8E-5,4.8E-5,4.8E-5
1984-06-25,4.8E-5,4.8E-5,4.8E-5,4.8E-5
1984-07-02,4.7E-5,4.7E-5,4.7E-5,4.7E-5
1984-07-09,4.7E-5,4.7E-5,4.7E-5,4.7E-5
1984-07-16,4.7E-5,4.7E-5,4.7E-5,4.7E-5
1984-07-23,4.7E-5,4.7E-5,4.7E-5,4.7E-5
1984-07-30,4.6E-5,4.6E-5,4.6E-5,4.6E-5
1984-08-06,4.6E-5,4.6E-5,4.6E-5,4.6E-5
1984-08-13,4.6E-5,4.6E-5,4.6E-5,4.6E-5
1984-08-20,4.7E-5,4.7E-5,4.7E-5,4.7E-5
1984-08-27,4.7E-5,4.7E-5,4.7E-5,4.7E-5
1984-09-01,5.1E-5,5.1E-5,5.1E-5,5.1E-5
1984-09-10,5.1E-5,5.1E-5,5.1E-5,5.1E-5
1984-09-17,5.1E-5,5.1E-5,5.1E-5,5.1E-5
1984-09-24,5.1E-5,5.1E-5,5.1E-5,5.1E-5
1984-10-01,5.1E-5,5.1E-5,5.1E-5,5.1E-5
1984-10-08,5.1E-5,5.1E-5,5.1E-5,5.1E-5
1984-10-15,5.1E-5,5.1E-5,5.1E-5,5.1E-5
1984-10-22,5.1E-5,5.1E-5,5.1E-5,5.1E-5
1984-10-29,5.1E-5,5.1E-5,5.1E-5,5.1E-5
1984-11-05,5.1E-5,5.1E-5,5.1E-5,5.1E-5
1984-11-12,5.1E-5,5.1E-5,5.1E-5,5.1E-5
1984-11-19,5.2E-5,5.2E-5,5.2E-5,5.2E-5
1984-11-26,5.1E-5,5.1E-5,5.1E-5,5.1E-5
1984-12-01,5.1E-5,5.1E-5,5.1E-5,5.1E-5
1984-12-10,5.1E-5,5.1E-5,5.1E-5,5.1E-5
1984-12-17,5.1E-5,5.1E-5,5.1E-5,5.1E-5
1984-12-24,5.1E-5,5.1E-5,5.1E-5,5.1E-5
1985-01-01,5.6E-5,5.6E-5,5.6E-5,5.6E-5
1985-01-07,5.5E-5,5.5E-5,5.5E-5,5.5E-5
1985-01-14,5.5E-5,5.5E-5,5.5E-5,5.5E-5
1985-01-21,5.5E-5,5.5E-5,5.5E-5,5.5E-5
1985-01-28,5.5E-5,5.5E-5,5.5E-5,5.5E-5
1985-02-04,5.5E-5,5.5E-5,5.5E-5,5.5E-5
1985-02-11,5.4E-5,5.4E-5,5.4E-5,5.4E-5
1985-02-18,5.4E-5,5.4E-5,5.4E-5,5.4E-5
1985-02-25,5.4E-5,5.4E-5,5.4E-5,5.4E-5
1985-03-04,5.5E-5,5.5E-5,5.5E-5,5.5E-5
1985-03-11,5.4E-5,5.4E-5,5.4E-5,5.4E-5
1985-03-18,5.4E-5,5.4E-5,5.4E-5,5.4E-5
1985-03-25,5.4E-5,5.4E-5,5.4E-5,5.4E-5
1985-03-29,5.5E-5,5.5E-5,5.5E-5,5.5E-5
1985-04-01,5.5E-5,5.5E-5,5.5E-5,5.5E-5
1985-04-09,5.4E-5,5.4E-5,5.4E-5,5.4E-5
1985-04-15,5.4E-5,5.4E-5,5.4E-5,5.4E-5
1985-04-22,5.4E-5,5.4E-5,5.4E-5,5.4E-5
1985-04-29,5.5E-5,5.5E-5,5.5E-5,5.5E-5
1985-05-06,5.4E-5,5.4E-5,5.4E-5,5.4E-5
1985-05-13,5.5E-5,5.5E-5,5.5E-5,5.5E-5
1985-05-20,5.4E-5,5.4E-5,5.4E-5,5.4E-5
1985-05-27,5.4E-5,5.4E-5,5.4E-5,5.4E-5
1985-06-01,6.3E-5,6.3E-5,6.3E-5,6.3E-5
1985-06-10,6.3E-5,6.3E-5,6.3E-5,6.3E-5
1985-06-17,6.4E-5,6.4E-5,6.4E-5,6.4E-5
1985-06-24,6.4E-5,6.4E-5,6.4E-5,6.4E-5
1985-07-01,6.4E-5,6.4E-5,6.4E-5,6.4E-5
1985-07-08,6.4E-5,6.4E-5,6.4E-5,6.4E-5
1985-07-15,6.4E-5,6.4E-5,6.4E-5,6.4E-5
1985-07-23,6.5E-5,6.5E-5,6.5E-5,6.5E-5
1985-07-29,6.5E-5,6.5E-5,6.5E-5,6.5E-5
1985-08-05,6.5E-5,6.5E-5,6.5E-5,6.5E-5
1985-08-12,6.5E-5,6.5E-5,6.5E-5,6.5E-5
1985-08-19,6.5E-5,6.5E-5,6.5E-5,6.5E-5
1985-08-26,6.4E-5,6.4E-5,6.4E-5,6.4E-5
1985-09-02,6.5E-5,6.5E-5,6.5E-5,6.5E-5
1985-09-09,6.5E-5,6.5E-5,6.5E-5,6.5E-5
